Freq.	V(vout2)
7.24435960074988e+00	(3.65201113122681e-01dB,-4.87742490675432e+00°)
7.41310241300916e+00	(3.85157443066753e-01dB,-5.00282984362449e+00°)
7.58577575029182e+00	(4.06095489405200e-01dB,-5.13205754421136e+00°)
7.76247116628690e+00	(4.28065627097349e-01dB,-5.26526906903024e+00°)
7.94328234724279e+00	(4.51121021317788e-01dB,-5.40263537959068e+00°)
8.12830516164097e+00	(4.75317802036097e-01dB,-5.54433814579099e+00°)
8.31763771102669e+00	(5.00715251412337e-01dB,-5.69057063297918e+00°)
8.51138038202374e+00	(5.27376005116960e-01dB,-5.84153867785194e+00°)
8.70963589956078e+00	(5.55366268793465e-01dB,-5.99746176357670e+00°)
8.91250938133743e+00	(5.84756051002759e-01dB,-6.15857420591994e+00°)
9.12010839355907e+00	(6.15619414122484e-01dB,-6.32512646377457e+00°)
9.33254300796988e+00	(6.48034744822494e-01dB,-6.49738658933858e+00°)
9.54992586021433e+00	(6.82085045901445e-01dB,-6.67564183535133e+00°)
9.77237220955808e+00	(7.17858251450343e-01dB,-6.86020043929107e+00°)
9.99999999999997e+00	(7.55447567508420e-01dB,-7.05139360734273e+00°)
1.02329299228075e+01	(7.94951840596439e-01dB,-7.24957772433017e+00°)
1.04712854805090e+01	(8.36475956754179e-01dB,-7.45513681976295e+00°)
1.07151930523760e+01	(8.80131273973338e-01dB,-7.66848532478088e+00°)
1.09647819614318e+01	(9.26036091206383e-01dB,-7.89007116021755e+00°)
1.12201845430196e+01	(9.74316157445296e-01dB,-8.12037920240912e+00°)
1.14815362149688e+01	(1.02510522470337e+00dB,-8.35993518092921e+00°)
1.17489755493953e+01	(1.07854564909531e+00dB,-8.60931007137463e+00°)
1.20226443461741e+01	(1.13478904459381e+00dB,-8.86912505693827e+00°)
1.23026877081238e+01	(1.19399699443930e+00dB,-9.14005714513251e+00°)
1.25892541179416e+01	(1.25634182558421e+00dB,-9.42284554109511e+00°)
1.28824955169313e+01	(1.32200745194942e+00dB,-9.71829889694559e+00°)
1.31825673855640e+01	(1.39119029263866e+00dB,-1.00273035783066e+01°)
1.34896288259165e+01	(1.46410027156254e+00dB,-1.03508331151678e+01°)
1.38038426460288e+01	(1.54096190512288e+00dB,-1.06899590357421e+01°)
1.41253754462275e+01	(1.62201548463212e+00dB,-1.10458633200801e+01°)
1.44543977074592e+01	(1.70751835989524e+00dB,-1.14198527565205e+01°)
1.47910838816820e+01	(1.79774632972563e+00dB,-1.18133755404750e+01°)
