Freq.	V(vout)
6.45654229034654e+00	(4.53409118292620e-01dB,-4.28094601130479e+00°)
6.60693448007594e+00	(4.75979838988397e-01dB,-4.39227551952031e+00°)
6.76082975391980e+00	(4.99670330686905e-01dB,-4.50709412183986e+00°)
6.91830970918935e+00	(5.24539026064714e-01dB,-4.62555570173081e+00°)
7.07945784384136e+00	(5.50647696305059e-01dB,-4.74782406836389e+00°)
7.24435960074988e+00	(5.78061670821031e-01dB,-4.87407380169406e+00°)
7.41310241300916e+00	(6.06850074288144e-01dB,-5.00449118465598e+00°)
7.58577575029182e+00	(6.37086082621179e-01dB,-5.13927523299348e+00°)
7.76247116628690e+00	(6.68847199710021e-01dB,-5.27863883471124e+00°)
7.94328234724279e+00	(7.02215556931046e-01dB,-5.42281001283351e+00°)
8.12830516164097e+00	(7.37278237678111e-01dB,-5.57203332713219e+00°)
8.31763771102669e+00	(7.74127629412111e-01dB,-5.72657143278388e+00°)
8.51138038202374e+00	(8.12861806017005e-01dB,-5.88670681659826e+00°)
8.70963589956078e+00	(8.53584943573937e-01dB,-6.05274373460227e+00°)
8.91250938133743e+00	(8.96407773031848e-01dB,-6.22501037844635e+00°)
9.12010839355907e+00	(9.41448073666330e-01dB,-6.40386130243460e+00°)
9.33254300796988e+00	(9.88831211684828e-01dB,-6.58968014809476e+00°)
9.54992586021433e+00	(1.03869072886381e+00dB,-6.78288270925124e+00°)
9.77237220955808e+00	(1.09116898669834e+00dB,-6.98392038774676e+00°)
9.99999999999997e+00	(1.14641787221604e+00dB,-7.19328409850112e+00°)
1.02329299228075e+01	(1.20459957236497e+00dB,-7.41150869279730e+00°)
1.04712854805090e+01	(1.26588742473704e+00dB,-7.63917798091289e+00°)
1.07151930523760e+01	(1.33046685334682e+00dB,-7.87693044989600e+00°)
1.09647819614318e+01	(1.39853639925757e+00dB,-8.12546579000996e+00°)
1.12201845430196e+01	(1.47030885704293e+00dB,-8.38555236480825e+00°)
1.14815362149688e+01	(1.54601252939731e+00dB,-8.65803578585320e+00°)
1.17489755493953e+01	(1.62589261366488e+00dB,-8.94384878484946e+00°)
1.20226443461741e+01	(1.71021273563785e+00dB,-9.24402261484512e+00°)
1.23026877081238e+01	(1.79925664766295e+00dB,-9.55970025992413e+00°)
1.25892541179416e+01	(1.89333010985078e+00dB,-9.89215179176994e+00°)
1.28824955169313e+01	(1.99276297493932e+00dB,-1.02427922845179e+01°)
1.31825673855640e+01	(2.09791149900337e+00dB,-1.06132027902027e+01°)
1.34896288259165e+01	(2.20916090154088e+00dB,-1.10051549906803e+01°)
1.38038426460288e+01	(2.32692819920885e+00dB,-1.14206402844516e+01°)
1.41253754462275e+01	(2.45166533716753e+00dB,-1.18619042465111e+01°)
1.44543977074592e+01	(2.58386263991401e+00dB,-1.23314876268431e+01°)
1.47910838816820e+01	(2.72405259855947e+00dB,-1.28322753424668e+01°)
1.51356124843620e+01	(2.87281400207121e+00dB,-1.33675552872494e+01°)
1.54881661891248e+01	(3.03077640352723e+00dB,-1.39410892570607e+01°)
1.58489319246111e+01	(3.19862488504615e+00dB,-1.45571988966332e+01°)
1.62181009735892e+01	(3.37710504083042e+00dB,-1.52208703596963e+01°)
1.65958690743755e+01	(3.56702802758698e+00dB,-1.59378823886636e+01°)
1.69824365246174e+01	(3.76927542142790e+00dB,-1.67149638322229e+01°)
1.73780082874937e+01	(3.98480344847819e+00dB,-1.75599883132856e+01°)
1.77827941003892e+01	(4.21464588907922e+00dB,-1.84822159372915e+01°)
1.81970085860998e+01	(4.45991454005890e+00dB,-1.94925947037530e+01°)
1.86208713666286e+01	(4.72179547383388e+00dB,-2.06041377544581e+01°)
1.90546071796324e+01	(5.00153832856783e+00dB,-2.18323968021239e+01°)
1.94984459975804e+01	(5.30043429979665e+00dB,-2.31960569005460e+01°)
1.99526231496887e+01	(5.61977607082731e+00dB,-2.47176825867406e+01°)
2.04173794466952e+01	(5.96078914562048e+00dB,-2.64246488584877e+01°)
2.08929613085403e+01	(6.32451824197682e+00dB,-2.83502889903966e+01°)
2.13796208950222e+01	(6.71164361723264e+00dB,-3.05352773874964e+01°)
2.18776162394954e+01	(7.12218932620787e+00dB,-3.30292242721120e+01°)
2.23872113856833e+01	(7.55506770833575e+00dB,-3.58923602515841e+01°)
2.29086765276776e+01	(8.00738317375007e+00dB,-3.91969782898554e+01°)
2.34422881531991e+01	(8.47340140877513e+00dB,-4.30278887327682e+01°)
2.39883291901948e+01	(8.94310170598465e+00dB,-4.74804125700160e+01°)
2.45470891568502e+01	(9.40032852512487e+00dB,-5.26533295461853e+01°)
2.51188643150957e+01	(9.82085193026722e+00dB,-5.86330113647064e+01°)
2.57039578276885e+01	(1.01712559043139e+01dB,-6.54650414416152e+01°)
2.63026799189537e+01	(1.04104089512806e+01dB,-7.31139919130619e+01°)
