Freq.	V(vout2)
9.54992586021433e+00	(6.78952946668066e-01dB,-4.29733268454917e+01°)
9.77237220955808e+00	(6.87619032781563e-01dB,-4.42853240612875e+01°)
9.99999999999997e+00	(6.94163820532900e-01dB,-4.56460192074318e+01°)
1.02329299228075e+01	(6.98230798892228e-01dB,-4.70570456192280e+01°)
1.04712854805090e+01	(6.99425916619033e-01dB,-4.85199711410073e+01°)
1.07151930523760e+01	(6.97315655563943e-01dB,-5.00362689882980e+01°)
1.09647819614318e+01	(6.91425479803667e-01dB,-5.16072842586849e+01°)
1.12201845430196e+01	(6.81238806050540e-01dB,-5.32341959986411e+01°)
1.14815362149688e+01	(6.66196661879530e-01dB,-5.49179749044244e+01°)
1.17489755493953e+01	(6.45698216559851e-01dB,-5.66593369614432e+01°)
1.20226443461741e+01	(6.19102382017608e-01dB,-5.84586936118855e+01°)
1.23026877081238e+01	(5.85730685437961e-01dB,-6.03160993838264e+01°)
1.25892541179416e+01	(5.44871606526550e-01dB,-6.22311983085415e+01°)
1.28824955169313e+01	(4.95786547598100e-01dB,-6.42031708793810e+01°)
1.31825673855640e+01	(4.37717559855428e-01dB,-6.62306837373852e+01°)
1.34896288259165e+01	(3.69896881834089e-01dB,-6.83118446661894e+01°)
1.38038426460288e+01	(2.91558255160895e-01dB,-7.04441657910672e+01°)
1.41253754462275e+01	(2.01949870301117e-01dB,-7.26245380459514e+01°)
1.44543977074592e+01	(1.00348666036547e-01dB,-7.48492199381916e+01°)
1.47910838816820e+01	(-1.39244299630535e-02dB,-7.71138433514149e+01°)
1.51356124843620e+01	(-1.41488863277470e-01dB,-7.94134385485403e+01°)
1.54881661891248e+01	(-2.82889071964163e-01dB,-8.17424796660679e+01°)
1.58489319246111e+01	(-4.38580090973005e-01dB,-8.40949508626309e+01°)
1.62181009735892e+01	(-6.08914892015602e-01dB,-8.64644319777443e+01°)
1.65958690743755e+01	(-7.94134169530821e-01dB,-8.88442011880941e+01°)
1.69824365246174e+01	(-9.94359178691920e-01dB,-9.12273508624369e+01°)
1.73780082874937e+01	(-1.20958806694407e+00dB,-9.36069117622721e+01°)
1.77827941003892e+01	(-1.43969593035628e+00dB,-9.59759800456911e+01°)
1.81970085860998e+01	(-1.68443859120884e+00dB,-9.83278412962185e+01°)
1.86208713666286e+01	(-1.94345985875988e+00dB,-1.00656086048427e+02°)
1.90546071796324e+01	(-2.21630182602242e+00dB,-1.02954711984338e+02°)
1.94984459975804e+01	(-2.50241759255400e+00dB,-1.05218209037562e+02°)
1.99526231496887e+01	(-2.80118570048151e+00dB,-1.07441624933061e+02°)
2.04173794466952e+01	(-3.11192553329574e+00dB,-1.09620610059187e+02°)
2.08929613085403e+01	(-3.43391295084392e+00dB,-1.11751441871851e+02°)
2.13796208950222e+01	(-3.76639550899479e+00dB,-1.13831030152073e+02°)
2.18776162394954e+01	(-4.10860672388464e+00dB,-1.15856905300566e+02°)
2.23872113856833e+01	(-4.45977897218660e+00dB,-1.17827192422520e+02°)
2.29086765276776e+01	(-4.81915475516975e+00dB,-1.19740574236821e+02°)
2.34422881531991e+01	(-5.18599618286552e+00dB,-1.21596245871156e+02°)
2.39883291901948e+01	(-5.55959264654114e+00dB,-1.23393864430272e+02°)
2.45470891568502e+01	(-5.93926673781537e+00dB,-1.25133495909003e+02°)
2.51188643150957e+01	(-6.32437853944023e+00dB,-1.26815561622582e+02°)
2.57039578276885e+01	(-6.71432845693455e+00dB,-1.28440785894569e+02°)
2.63026799189537e+01	(-7.10855878456160e+00dB,-1.30010146316754e+02°)
2.69153480392690e+01	(-7.50655420720203e+00dB,-1.31524827503170e+02°)
2.75422870333815e+01	(-7.90784143537656e+00dB,-1.32986178918600e+02°)
2.81838293126444e+01	(-8.31198815772443e+00dB,-1.34395677078357e+02°)
2.88403150312659e+01	(-8.71860147687819e+00dB,-1.35754892191540e+02°)
2.95120922666637e+01	(-9.12732597352322e+00dB,-1.37065459150708e+02°)
3.01995172040200e+01	(-9.53784152149075e+00dB,-1.38329052650573e+02°)
3.09029543251358e+01	(-9.94986095543012e+00dB,-1.39547366139056e+02°)
3.16227766016837e+01	(-1.03631276728622e+01dB,-1.40722094258030e+02°)
3.23593656929627e+01	(-1.07774132347653e+01dB,-1.41854918410773e+02°)
3.31131121482590e+01	(-1.11925150135188e+01dB,-1.42947495091892e+02°)
3.38844156139201e+01	(-1.16082539240545e+01dB,-1.44001446627805e+02°)
3.46736850452530e+01	(-1.20244722633199e+01dB,-1.45018353997011e+02°)
3.54813389233574e+01	(-1.24410316744527e+01dB,-1.45999751426069e+02°)
3.63078054770100e+01	(-1.28578112451522e+01dB,-1.46947122486431e+02°)
3.71535229097171e+01	(-1.32747057443608e+01dB,-1.47861897447376e+02°)
3.80189396320559e+01	(-1.36916239973020e+01dB,-1.48745451669664e+02°)
3.89045144994279e+01	(-1.41084873959133e+01dB,-1.49599104852421e+02°)
3.98107170553495e+01	(-1.45252285395829e+01dB,-1.50424120971520e+02°)
4.07380277804111e+01	(-1.49417899996490e+01dB,-1.51221708771188e+02°)
4.16869383470333e+01	(-1.53581232002235e+01dB,-1.51993022691446e+02°)
4.26579518801591e+01	(-1.57741874074092e+01dB,-1.52739164132559e+02°)
4.36515832240164e+01	(-1.61899488188114e+01dB,-1.53461182973802e+02°)
4.46683592150961e+01	(-1.66053797453008e+01dB,-1.54160079277911e+02°)
